orden,zona,titulo_word,link,precio_usd,direccion,atributos,portal
40,LIBERTADOR,5 amb,https://departamento.mercadolibre.com.ar/MLA-3304433454-venta-piso-departamento-5-ambientes-av-libertador-4600-las-canitas-palermo-_JM,,5 amb,,ml
41,LIBERTADOR,Super jardín propio 300m²,https://departamento.mercadolibre.com.ar/MLA-2536072772-con-super-jardin-propio-de-300-m2-en-excelente-edificio-a-mts-del-zoo--_JM,,Super jardín propio 300m²,,ml
42,MARTÍN PINUS,Martín Pinus,https://www.martinpinus.net/detalle.php?id=7427541,,Martín Pinus,,martinpinus
43,MARTÍN PINUS,Martín Pinus,https://www.martinpinus.net/detalle.php?id=8040612,,Martín Pinus,,martinpinus
44,MARTÍN PINUS,Martín Pinus,https://www.martinpinus.net/detalle.php?id=7629093,,Martín Pinus,,martinpinus
45,MARTÍN PINUS,Martín Pinus,https://www.martinpinus.net/detalle.php?id=7991633,,Martín Pinus,,martinpinus
46,MARTÍN PINUS,Martín Pinus,https://www.martinpinus.net/detalle.php?id=6524776,,Martín Pinus,,martinpinus
47,SUELTAS,Casa Las Cañitas Volta 1800,https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-casa-4-ambientes-las-canitas-venta-58375922.html,,Casa Las Cañitas Volta 1800,,zonaprop
48,SUELTAS,Casa neocolonial Volta 1867,https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-venta-exclusiva-casa-estilo-neocolonial-5-amb.-en-56324301.html,,Casa neocolonial Volta 1867,,zonaprop
49,SUELTAS,Penthouse con terraza y parrilla,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-penthouse-con-terraza-y-parrilla-4-5-dorm.-playroom-59041379.html,,Penthouse con terraza y parrilla,,zonaprop
50,SUELTAS,Cavia 3000 Palermo Chico,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-venta-palermo-chico-cavia-al-3000-entre-59237892.html,,Cavia 3000 Palermo Chico,,zonaprop
51,SUELTAS,Penthouse Seguí y Salguero,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-penthouse-c-terraza-privada-en-segui-y-salguero-57355917.html,,Penthouse Seguí y Salguero,,zonaprop
52,SUELTAS,Torre Panedile Libertador 3700,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-duplex-en-torre-panedile-av-libertador-4-dorm.-balcon-58845806.html,,Torre Panedile Libertador 3700,,zonaprop
53,SUELTAS,Palermo Chico Aguado y F. Alcorta,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-palermo-chico-aguado-y-f.-alcorta-piso-de-340-54283891.html,,Palermo Chico Aguado y F. Alcorta,,zonaprop
